背番号,選手名,守備,生年月日,年齢,プロ年数,身長,体重,血液型,投打,出身地,推定年俸(万円),2019年所属球団,生年年,生年月,生年日,選手名_球団,選手名_生年月日,出場試合数,出身地域,出身校,高・大フラグ,オリックス,ソフトバンク,ヤクルト,ロッテ,中日,巨人,広島,日ハム,楽天,横浜,西武,阪神,直近10年間月間MVP受賞回数,直近10年間GG受賞回数,最大所属年数,最大所属年数球団,ネックレス太さ,目的変数_ネックレス装着フラグ,外国人フラグ,育成,2019年セパフラグ,最大所属年数球団_adj
8,神里和毅,外野手,1994-01-17,25,2,179,81,A型,右左,沖縄,2500,横浜,1994,1,17,神里和毅_横浜,神里和毅_1994-01-17,123.0,九州,中大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
9,大和,内野手,1987-11-05,31,14,177,70,A型,右右,鹿児島,10000,横浜,1987,11,5,大和_横浜,大和_1987-11-05,137.0,九州,樟南高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,9.0,阪神,0.0,0.0,国内,0,セリーグ,阪神
10,戸柱恭孝,捕手,1990-04-11,29,4,179,90,A型,右左,鹿児島,3300,横浜,1990,4,11,戸柱恭孝_横浜,戸柱恭孝_1990-04-11,45.0,九州,駒大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
11,東克樹,投手,1995-11-29,23,2,170,78,B型,左左,三重,5550,横浜,1995,11,29,東克樹_横浜,東克樹_1995-11-29,7.0,東海,立命大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
12,阪口皓亮,投手,1999-08-15,20,2,186,81,O型,右左,大阪,600,横浜,1999,8,15,阪口皓亮_横浜,阪口皓亮_1999-08-15,3.0,近畿,北海高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
14,石田健大,投手,1993-03-01,26,5,180,85,O型,左左,広島,5800,横浜,1993,3,1,石田健大_横浜,石田健大_1993-03-01,40.0,中国,法大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
15,井納翔一,投手,1986-05-01,33,7,188,94,A型,右右,東京,7200,横浜,1986,5,1,井納翔一_横浜,井納翔一_1986-05-01,15.0,東京,上武大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
16,大貫晋一,投手,1994-02-03,25,1,181,73,AB型,右右,神奈川,1150,横浜,1994,2,3,大貫晋一_横浜,大貫晋一_1994-02-03,15.0,関東,日体大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
17,三嶋一輝,投手,1990-05-07,29,7,176,80,A型,右両,福岡,4800,横浜,1990,5,7,三嶋一輝_横浜,三嶋一輝_1990-05-07,71.0,九州,法大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
19,山﨑康晃,投手,1992-10-02,27,5,179,88,O型,右右,東京,25000,横浜,1992,10,2,山﨑康晃_横浜,山﨑康晃_1992-10-02,61.0,東京,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
21,今永昇太,投手,1993-09-01,26,4,177,82,A型,左左,福岡,6700,横浜,1993,9,1,今永昇太_横浜,今永昇太_1993-09-01,25.0,九州,駒大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
23,大河,内野手,1998-04-05,21,3,174,75,B型,右右,大阪,605,横浜,1998,4,5,大河_横浜,大河_1998-04-05,0.0,近畿,秀岳館高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
24,齋藤俊介,投手,1994-01-07,25,2,176,85,A型,右右,千葉,950,横浜,1994,1,7,齋藤俊介_横浜,齋藤俊介_1994-01-07,16.0,関東,立大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
25,筒香嘉智,外野手,1991-11-26,27,10,185,97,A型,右左,和歌山,40000,横浜,1991,11,26,筒香嘉智_横浜,筒香嘉智_1991-11-26,131.0,近畿,横浜高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
26,濵口遥大,投手,1995-03-16,24,3,173,80,B型,左左,佐賀,5050,横浜,1995,3,16,濵口遥大_横浜,濵口遥大_1995-03-16,17.0,九州,神奈川大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
27,上茶谷大河,投手,1996-08-31,23,1,181,83,B型,右右,京都,1500,横浜,1996,8,31,上茶谷大河_横浜,上茶谷大河_1996-08-31,25.0,近畿,東洋大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
28,勝又温史,投手,2000-05-22,19,1,180,80,不明,右左,東京,560,横浜,2000,5,22,勝又温史_横浜,勝又温史_2000-05-22,0.0,東京,日大鶴ケ丘高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
29,伊藤光,捕手,1989-04-23,30,12,180,83,B型,右右,愛知,5500,横浜,1989,4,23,伊藤光_横浜,伊藤光_1989-04-23,84.0,東海,明徳義塾高,高校,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,オリックス,0.0,0.0,国内,0,セリーグ,オリックス
30,飯塚悟史,投手,1996-10-11,23,5,188,90,A型,右左,新潟,1400,横浜,1996,10,11,飯塚悟史_横浜,飯塚悟史_1996-10-11,5.0,北信越,日本文理高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
31,柴田竜拓,内野手,1993-12-16,25,4,167,68,O型,右左,岡山,3500,横浜,1993,12,16,柴田竜拓_横浜,柴田竜拓_1993-12-16,111.0,中国,国学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
32,益子京右,捕手,2000-12-27,18,1,176,87,A型,右右,栃木,470,横浜,2000,12,27,益子京右_横浜,益子京右_2000-12-27,0.0,関東,青藍泰斗高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
33,乙坂智,外野手,1994-01-06,25,8,182,83,O型,右左,神奈川,2400,横浜,1994,1,6,乙坂智_横浜,乙坂智_1994-01-06,97.0,関東,横浜高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
34,平田真吾,投手,1989-08-29,30,6,182,80,A型,右右,山口,1550,横浜,1989,8,29,平田真吾_横浜,平田真吾_1989-08-29,8.0,中国,北九州市大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
35,三上朋也,投手,1989-04-10,30,6,190,90,AB型,右右,岐阜,10500,横浜,1989,4,10,三上朋也_横浜,三上朋也_1989-04-10,6.0,東海,法大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
36,狩野行寿,内野手,1994-07-31,25,3,180,80,B型,右右,埼玉,610,横浜,1994,7,31,狩野行寿_横浜,狩野行寿_1994-07-31,0.0,関東,平成国際大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
37,楠本泰史,外野手,1995-07-07,24,2,180,77,A型,右左,大阪,1080,横浜,1995,7,7,楠本泰史_横浜,楠本泰史_1995-07-07,39.0,近畿,東北福祉大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
38,山下幸輝,内野手,1993-01-31,26,5,173,80,B型,右左,千葉,1140,横浜,1993,1,31,山下幸輝_横浜,山下幸輝_1993-01-31,0.0,関東,国学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
39,嶺井博希,捕手,1991-06-04,28,6,175,85,B型,右右,沖縄,2700,横浜,1991,6,4,嶺井博希_横浜,嶺井博希_1991-06-04,64.0,九州,亜大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
40,飛雄馬,内野手,1991-03-17,28,8,181,88,B型,右右,大阪,700,横浜,1991,3,17,飛雄馬_横浜,飛雄馬_1991-03-17,5.0,近畿,江の川高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
41,櫻井周斗,投手,1999-06-25,20,2,178,80,A型,左左,埼玉,570,横浜,1999,6,25,櫻井周斗_横浜,櫻井周斗_1999-06-25,14.0,関東,日大三高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
42,バリオス,投手,1988-10-11,31,8,185,85,不明,右右,ベネズエラ,3300,横浜,1988,10,11,バリオス_横浜,バリオス_1988-10-11,3.0,ベネズエラ,アルベルトスミス高,高校,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,ソフトバンク,0.0,0.0,国外,0,セリーグ,ソフトバンク
43,進藤拓也,投手,1992-07-16,27,3,186,90,O型,右右,秋田,700,横浜,1992,7,16,進藤拓也_横浜,進藤拓也_1992-07-16,5.0,東北,横浜商大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
44,佐野恵太,内野手,1994-11-28,24,3,178,84,A型,右左,岡山,1200,横浜,1994,11,28,佐野恵太_横浜,佐野恵太_1994-11-28,89.0,中国,明大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
45,綾部翔,投手,1997-04-25,22,4,189,100,O型,右右,茨城,590,横浜,1997,4,25,綾部翔_横浜,綾部翔_1997-04-25,0.0,関東,霞ケ浦高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
46,田中健二朗,投手,1989-09-18,30,12,179,80,B型,左左,愛知,4600,横浜,1989,9,18,田中健二朗_横浜,田中健二朗_1989-09-18,0.0,東海,常葉学園菊川高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
47,砂田毅樹,投手,1995-07-20,24,6,180,85,B型,左左,北海道,7200,横浜,1995,7,20,砂田毅樹_横浜,砂田毅樹_1995-07-20,16.0,北海道,明桜高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
48,京山将弥,投手,1998-07-04,21,3,182,77,B型,右右,滋賀,1050,横浜,1998,7,4,京山将弥_横浜,京山将弥_1998-07-04,9.0,近畿,近江高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
49,赤間謙,投手,1990-11-14,28,4,180,87,AB型,右右,福島,1150,横浜,1990,11,14,赤間謙_横浜,赤間謙_1990-11-14,7.0,東北,東海大,大学,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,オリックス,0.0,0.0,国内,0,セリーグ,オリックス
50,山本祐大,捕手,1998-09-11,21,2,180,82,A型,右右,大阪,520,横浜,1998,9,11,山本祐大_横浜,山本祐大_1998-09-11,13.0,近畿,中部学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
51,宮﨑敏郎,内野手,1988-12-12,30,7,172,85,B型,右右,佐賀,16000,横浜,1988,12,12,宮﨑敏郎_横浜,宮﨑敏郎_1988-12-12,114.0,九州,日本文理大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
52,細川成也,外野手,1998-08-04,21,3,179,86,AB型,右右,神奈川,560,横浜,1998,8,4,細川成也_横浜,細川成也_1998-08-04,36.0,関東,明秀学園日立高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
53,パットン,投手,1988-02-20,31,3,185,91,不明,右右,アメリカ,16000,横浜,1988,2,20,パットン_横浜,パットン_1988-02-20,42.0,アメリカ,南イリノイ大エドワーズビル校,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国外,0,セリーグ,横浜
54,寺田光輝,投手,1992-01-05,27,2,175,76,B型,右右,三重,600,横浜,1992,1,5,寺田光輝_横浜,寺田光輝_1992-01-05,0.0,東海,筑波大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
56,濱矢廣大,投手,1993-02-27,26,6,185,78,A型,左左,奈良,900,横浜,1993,2,27,濱矢廣大_横浜,濱矢廣大_1993-02-27,2.0,近畿,日高高中津分校,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,楽天,0.0,0.0,国内,0,セリーグ,楽天
57,青柳昴樹,外野手,1997-05-19,22,4,182,86,A型,右右,大阪,550,横浜,1997,5,19,青柳昴樹_横浜,青柳昴樹_1997-05-19,0.0,近畿,大阪桐蔭高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
58,武藤祐太,投手,1989-06-14,30,9,178,85,O型,右右,埼玉,1200,横浜,1989,6,14,武藤祐太_横浜,武藤祐太_1989-06-14,31.0,関東,飯能南高,高校,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,中日,0.0,0.0,国内,0,セリーグ,中日
59,平良拳太郎,投手,1995-07-12,24,6,180,80,O型,右右,沖縄,1300,横浜,1995,7,12,平良拳太郎_横浜,平良拳太郎_1995-07-12,15.0,九州,北山高,高校,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,巨人,0.0,0.0,国内,0,セリーグ,巨人
60,知野直人,内野手,1999-02-16,20,1,182,83,A型,右右,新潟,560,横浜,1999,2,16,知野直人_横浜,知野直人_1999-02-16,0.0,北信越,第一学院高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
61,中川大志,内野手,1990-06-08,29,11,186,95,A型,右右,愛知,1300,横浜,1990,6,8,中川大志_横浜,中川大志_1990-06-08,3.0,東海,桜丘高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,9.0,楽天,0.0,0.0,国内,0,セリーグ,楽天
62,エスコバー,投手,1992-04-22,27,3,188,102,不明,左左,ベネズエラ,9500,横浜,1992,4,22,エスコバー_横浜,エスコバー_1992-04-22,74.0,ベネズエラ,インスティテゥトディオセサノバルキシメト高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国外,0,セリーグ,横浜
63,関根大気,外野手,1995-06-28,24,6,173,75,A型,左左,愛知,1570,横浜,1995,6,28,関根大気_横浜,関根大気_1995-06-28,32.0,東海,東邦高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
64,百瀬大騎,内野手,1997-03-11,22,5,175,70,A型,右左,長野,560,横浜,1997,3,11,百瀬大騎_横浜,百瀬大騎_1997-03-11,1.0,北信越,松本第一高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
65,国吉佑樹,投手,1991-09-24,28,10,196,103,A型,右右,大阪,1700,横浜,1991,9,24,国吉佑樹_横浜,国吉佑樹_1991-09-24,53.0,近畿,秀岳館高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
66,西森将司,捕手,1987-12-29,31,8,182,80,A型,右両,京都,600,横浜,1987,12,29,西森将司_横浜,西森将司_1987-12-29,0.0,近畿,北照高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
67,古村徹,投手,1993-10-20,25,4,180,80,B型,左左,神奈川,600,横浜,1993,10,20,古村徹_横浜,古村徹_1993-10-20,0.0,関東,茅ケ崎西浜高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
68,藤岡好明,投手,1985-03-12,34,14,177,81,O型,右左,大阪,1150,横浜,1985,3,12,藤岡好明_横浜,藤岡好明_1985-03-12,32.0,近畿,宮崎日大高,高校,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,ソフトバンク,0.0,0.0,国内,0,セリーグ,ソフトバンク
91,中後悠平,投手,1989-09-17,30,6,182,78,O型,左左,大阪,950,横浜,1989,9,17,中後悠平_横浜,中後悠平_1989-09-17,4.0,近畿,近大,大学,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,ロッテ,0.0,0.0,国内,0,セリーグ,ロッテ
92,田村丈,投手,1992-11-20,26,4,185,89,O型,右右,兵庫,440,横浜,1992,11,20,田村丈_横浜,田村丈_1992-11-20,0.0,近畿,関学大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
93,中川虎大,投手,1999-10-02,20,2,178,79,B型,右右,和歌山,360,横浜,1999,10,2,中川虎大_横浜,中川虎大_1999-10-02,3.0,近畿,簑島高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
94,笠井崇正,投手,1994-08-07,25,3,179,90,B型,右右,北海道,440,横浜,1994,8,7,笠井崇正_横浜,笠井崇正_1994-08-07,16.0,北海道,早大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,0,セリーグ,横浜
97,ソリス,投手,1988-08-10,31,1,196,114,不明,左右,アメリカ,3300,横浜,1988,8,10,ソリス_横浜,ソリス_1988-08-10,4.0,アメリカ,サンディエゴ大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国外,0,セリーグ,横浜
99,ソト,内野手,1989-02-28,30,2,185,97,不明,右右,プエルトリコ,9500,横浜,1989,2,28,ソト_横浜,ソト_1989-02-28,141.0,プエルトリコ,マリスタデグアイナボ高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,横浜,0.0,0.0,国外,0,セリーグ,横浜
100,宮城滝太,投手,2000-07-15,19,1,181,73,A型,右右,沖縄,340,横浜,2000,7,15,宮城滝太_横浜,宮城滝太_2000-07-15,0.0,九州,滋賀学園高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国内,育成,セリーグ,横浜
106,水野滉也,投手,1994-06-01,25,3,175,80,O型,右右,北海道,950,横浜,1994,6,1,水野滉也_横浜,水野滉也_1994-06-01,0.0,北海道,東海大北海道キャンパス,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,横浜,0.0,0.0,国内,育成,セリーグ,横浜
107,コルデロ,投手,1997-12-18,21,1,189,88,不明,左左,ドミニカ共和国,240,横浜,1997,12,18,コルデロ_横浜,コルデロ_1997-12-18,0.0,ドミニカ共和国,セントロスＡＰＥＣ通信高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,横浜,0.0,0.0,国外,育成,セリーグ,横浜
0,髙松渡,内野手,1999-07-02,20,2,176,65,A型,右左,兵庫,600,中日,1999,7,2,髙松渡_中日,髙松渡_1999-07-02,2.0,近畿,滝川二高,高校,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,中日,0.0,0.0,国内,0,セリーグ,中日
1,京田陽太,内野手,1994-04-20,25,3,184,83,O型,右左,石川,4500,中日,1994,4,20,京田陽太_中日,京田陽太_1994-04-20,140.0,北信越,日大,大学,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,中日,0.0,0.0,国内,0,セリーグ,中日
3,高橋周平,内野手,1994-01-18,25,8,180,85,O型,右左,神奈川,3500,中日,1994,1,18,高橋周平_中日,高橋周平_1994-01-18,117.0,関東,東海大甲府高,高校,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,中日,0.0,0.0,国内,0,セリーグ,中日
4,藤井淳志,外野手,1981-05-20,38,14,183,82,O型,右両,愛知,5500,中日,1981,5,20,藤井淳志_中日,藤井淳志_1981-05-20,61.0,東海,筑波大,大学,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,中日,0.0,0.0,国内,0,セリーグ,中日
5,阿部寿樹,内野手,1989-12-03,29,4,185,80,B型,右右,岩手,950,中日,1989,12,3,阿部寿樹_中日,阿部寿樹_1989-12-03,129.0,東北,明大,大学,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,中日,0.0,0.0,国内,0,セリーグ,中日
6,平田良介,外野手,1988-03-23,31,14,177,87,B型,右右,大阪,18000,中日,1988,3,23,平田良介_中日,平田良介_1988-03-23,95.0,近畿,大阪桐蔭高,高校,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,中日,0.0,0.0,国内,0,セリーグ,中日
7,根尾昂,内野手,2000-04-19,19,1,177,80,O型,右左,岐阜,1500,中日,2000,4,19,根尾昂_中日,根尾昂_2000-04-19,2.0,東海,大阪桐蔭高,高校,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,中日,0.0,0.0,国内,0,セリーグ,中日
8,大島洋平,外野手,1985-11-09,33,10,176,75,A型,左左,愛知,18000,中日,1985,11,9,大島洋平_中日,大島洋平_1985-11-09,143.0,東海,駒大,大学,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,中日,0.0,0.0,国内,0,セリーグ,中日
9,石川駿,内野手,1990-05-26,29,5,178,82,A型,右右,滋賀,600,中日,1990,5,26,石川駿_中日,石川駿_1990-05-26,8.0,近畿,明大,大学,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,中日,0.0,0.0,国内,0,セリーグ,中日
11,小笠原慎之介,投手,1997-10-08,22,4,180,95,A型,左左,神奈川,2100,中日,1997,10,8,小笠原慎之介_中日,小笠原慎之介_1997-10-08,7.0,関東,東海大相模高,高校,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,中日,0.0,0.0,国内,0,セリーグ,中日
12,田島慎二,投手,1989-12-21,29,8,181,84,B型,右右,愛知,7000,中日,1989,12,21,田島慎二_中日,田島慎二_1989-12-21,21.0,東海,東海学園大,大学,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,中日,0.0,0.0,国内,0,セリーグ,中日
